classifier,In taxon,Group,ratio,dataset
std_1-step,196200710,F,0.3198832500143197,strain
std_1-step,240511011,G,0.39212622555193505,strain
std_1-step,29144582,H,0.04751697183190031,strain
std_1-step,141778325,S,0.23115365577722155,strain
std_1-step,5716368,U,0.0093198968246234,strain
std_gold,34528079,F,0.056294159828836406,strain
std_gold,57741043,G,0.09414029385549412,strain
std_gold,1228231,H,0.0020024928760366766,strain
std_gold,504297151,S,0.8221999381900409,strain
std_gold,15556492,U,0.025363115249591933,strain
std_1-step,1147132,F,0.00815235807006213,marine
std_1-step,16532683,G,0.11749332393728794,marine
std_1-step,1157453,H,0.008225706636435582,marine
std_1-step,111109648,S,0.7896263337911963,marine
std_1-step,10764764,U,0.07650227756501805,marine
std_gold,185412,F,0.0013176731313278328,marine
std_gold,2204582,G,0.015667370327751045,marine
std_gold,416159,H,0.002957529893751535,marine
std_gold,121731339,S,0.8651118300911481,marine
std_gold,16174188,U,0.1149455965560215,marine
std_1-step,4054779,F,0.015918392416198003,plant_associated
std_1-step,116487158,G,0.4573093360924624,plant_associated
std_1-step,9114918,H,0.03578366208502773,plant_associated
std_1-step,53531593,S,0.21015618953294324,plant_associated
std_1-step,71534447,U,0.28083241987336865,plant_associated
std_gold,1705313,F,0.006694777083151477,plant_associated
std_gold,26191151,G,0.10282213147742374,plant_associated
std_gold,2923805,H,0.01147837535373489,plant_associated
std_gold,90689852,S,0.3560333750132669,plant_associated
std_gold,133212774,U,0.522971341072423,plant_associated
std_1-step,3297804,F,0.09893653405143085,Assorted_Genomes_mbarc_225
std_1-step,13108918,G,0.3932771359621175,Assorted_Genomes_mbarc_225
std_1-step,766009,H,0.022980830732269867,Assorted_Genomes_mbarc_225
std_1-step,16031329,S,0.48095160521916736,Assorted_Genomes_mbarc_225
std_1-step,128460,U,0.0038538940350144545,Assorted_Genomes_mbarc_225
std_gold,2638406,F,0.07915411136031719,Assorted_Genomes_mbarc_225
std_gold,2525752,G,0.07577440889557706,Assorted_Genomes_mbarc_225
std_gold,176771,H,0.005303259399529348,Assorted_Genomes_mbarc_225
std_gold,27855783,S,0.8356938809306947,Assorted_Genomes_mbarc_225
std_gold,135808,U,0.004074339413881699,Assorted_Genomes_mbarc_225
